date,product_id,quantity_sold
2026-08-20,1,8
2026-08-21,1,10
2026-08-22,1,7
2026-08-23,1,12
2026-08-24,1,9
2026-08-25,1,11
2026-08-26,1,13
2026-08-27,1,10
2026-08-28,1,14
2026-08-29,1,12
2026-08-20,2,18
2026-08-21,2,20
2026-08-22,2,16
2026-08-23,2,22
2026-08-24,2,19
2026-08-25,2,21
2026-08-26,2,24
2026-08-27,2,20
2026-08-28,2,23
2026-08-29,2,25
2026-08-20,3,6
2026-08-21,3,8
2026-08-22,3,7
2026-08-23,3,9
2026-08-24,3,10
2026-08-25,3,8
2026-08-26,3,11
2026-08-27,3,10
2026-08-28,3,12
2026-08-29,3,13
